NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES     
Pregunta 3c Opción 9: no sabe,1,C,p3c9,p3c9,9
Pregunta 3d ¿... tiene empleados o le ayudan personas en su negocio o actividad?,1,C,p3d,p3d,"1-2,9"
Pregunta 3e ¿... tiene,1,C,p3e,p3e,[1-2]
Pregunta 3f ¿Cuántos puestos o establecimientos (o en su caso vehículos) forman este negocio o empresa?,1,C,p3f1,p3f1,"1-3,9"
"Pregunta 3f ¿Más de uno?, ¿Cuántos?",2,C,p3f2,,"02-98,99"
Pregunta 3g Opción 1: trabajadores que reciben un pago?,1,C,p3g1_1,p3g1_1,1
Pregunta 3g Número de trabajadores con pago,3,C,p3g1_2,,"001-998,999"
Pregunta 3g Opción 2: socios?,1,C,p3g2_1,p3g2_1,2
Pregunta 3g Número de socios,3,C,p3g2_2,,"001-998,999"
Pregunta 3g Opción 3: trabajadores sin pago?,1,C,p3g3_1,p3g3_1,3
Pregunta 3g Número de trabajadores sin pago,3,C,p3g3_2,,"001-998,999"
Pregunta 3g Opción 4: no sabe qué tipo de trabajadores son,1,C,p3g4_1,p3g4_1,4
Pregunta 3g Número de trabajadores sin tipo,3,C,p3g4_2,,"001-998,999"
Pregunta 3g Opción 9: no sabe,1,C,p3g9,p3g9,9
Pregunta 3g total Sumatoria de número de trabajadores,4,C,p3g_tot,,"001-998,999"
Pregunta 3h ¿En este trabajo ...,1,C,p3h,p3h,"1-3,9"
Pregunta 3i ¿En este empleo ... Pertenece a algún sindicato?,1,C,p3i,p3i,"1-2,9"
Pregunta 3j ¿En este empleo ... cuenta con un contrato por escrito?,1,C,p3j,p3j,"1-2,9"
Pregunta 3k ¿El contrato de … es,1,C,p3k1,p3k1,"1-2,9"
Pregunta 3k Desglose de contrato temporal,1,C,p3k2,p3k2,[1-4]
Pregunta 3l Opción 1: aguinaldo?,1,C,p3l1,p3l1,"1,blanco"
Pregunta 3l Opción 2: vacaciones con goce de sueldo?,1,C,p3l2,p3l2,"2,blanco"
Pregunta 3l Opción 3: reparto de utilidades?,1,C,p3l3,p3l3,"3,blanco"
Pregunta 3l Opción 4: ninguna de las anteriores,1,C,p3l4,p3l4,"4,blanco"
Pregunta 3l Opción 5: no le dan nada,1,C,p3l5,p3l5,"5,blanco"
Pregunta 3l Opción 9: no sabe,1,C,p3l9,p3l9,"9,blanco"
"Pregunta 3m Opción 1: crédito para vivienda (Infonavit, Fovissste)?",1,C,p3m1,p3m1,"1,blanco"
Pregunta 3m Opción 2: guardería?,1,C,p3m2,p3m2,"2,blanco"
Pregunta 3m Opción 3: tiempo para cuidados maternos o paternos?,1,C,p3m3,p3m3,"3,blanco"
Pregunta 3m Opción 4: fondo de retiro (SAR o Afore)?,1,C,p3m4,p3m4,"4,blanco"
Pregunta 3m Opción 5: seguro de vida?,1,C,p3m5,p3m5,"5,blanco"
Pregunta 3m Opción 6 seguro privado para gastos médicos?,1,C,p3m6,p3m6,"6,blanco"
Pregunta 3m Opción 7: préstamos personales y/o caja de ahorro?,1,C,p3m7,p3m7,"7,blanco"
Pregunta 3m Opción 8: ninguna de las anteriores,1,C,p3m8,p3m8,"8,blanco"
Pregunta 3m Opción 9: no sabe,1,C,p3m9,p3m9,"9,blanco"
Pregunta 3n ¿Cómo se enteró ... de este empleo?,2,C,p3n,p3n,"01-10,99"
"Pregunta 3o Para conseguir o conservar este trabajo, ¿ ... se vio obligado a cambiar de ciudad o localidad?",1,C,p3o,p3o,[1-2]
"Pregunta 3p Antes de este cambio, ¿en qué estado de la República o país vivía ...?",1,C,p3p1,p3p1,"1-3,9"
Pregunta 3p Clave asignada a la descripción del lugar de residencia,3,C,p3p2,p3p2,
"Pregunta 3q ¿Aproximadamente cuántas personas, incluyendo al dueño, laboran donde trabaja ...?",2,C,p3q,p3q,"01-11,99"
Pregunta 3r ¿En qué año … ,4,C,p3r_anio,,"1900-2017,9999"
Pregunta 3r,2,C,p3r_mes,p3r_mes,"01-12,99"
Pregunta 3r,1,C,p3r,p3r,"1-3,9"
Pregunta 3s ¿Desde entonces … ,1,C,p3s,p3s,"1-2,9"
Pregunta 3t ¿En qué año … ,4,C,p3t_anio,,"1900-2017,9999"
Pregunta 3t,2,C,p3t_mes,p3t_mes,"01-12,99"
"Pregunta 4 ¿Cuál es el nombre de la empresa, negocio o institución para la que ... trabaja o ayuda?",1,C,p4,p4,"1-4,9"
Pregunta 4 Campo exclusivo del sistema,1,C,p4_1,,[1-2]
Pregunta 4 Campo exclusivo del sistema,1,C,p4_2,,[1-9]
Pregunta 4 Campo exclusivo del sistema,1,C,p4_3,,[1-2]
"Pregunta 4a ¿A qué se dedica esta empresa, negocio o institución?",4,C,p4a,p4a,0000-9999
Pregunta 4a Campo exclusivo del sistema,1,C,p4a_1,,[1-3]
Pregunta 4b SÓLO PARA EL ENTREVISTADOR,1,C,p4b,p4b,[1-5]
"Pregunta 4c Entonces, ¿estamos hablando de que este negocio es … ",1,C,p4c,p4c,[1-3]
"Pregunta 4d Entonces, ¿ … trabaja para",1,C,p4d1,p4d1,"1-2,9"
Pregunta 4d Opciones de respuesta cuando,1,C,p4d2,p4d2,"P4D1=1: 1-7,9 y P4D1=2: 1-9"
Pregunta 4d Campo exclusivo del sistema,1,C,p4d3,,[1-3]
Pregunta 4e ¿El negocio o actividad,1,C,p4e,p4e,"1-4,9"
"Pregunta 4f Entonces, ¿en dónde se realizan las actividades de este negocio?",2,C,p4f,p4f,"01-11,99"
Pregunta 4g En este negocio o actividad,1,C,p4g,p4g,"1-4,9"
Pregunta 4h ¿Normalmente en qué lugar trabaja ... ?,1,C,p4h,p4h,"1-5,9"
Pregunta 4i La empresa a la que pertenece ... ¿tiene oficinas o establecimientos,1,C,p4i,p4i,"1-4,9"
Pregunta 4i Campo exclusivo del sistema,1,C,p4i_1,,"1-3,blanco"
Pregunta 5 ¿La jornada de trabajo de ... es,1,C,p5,p5,"1-4,9"
"Pregunta 5a La semana pasada, ¿... tuvo poco trabajo que hacer?",1,C,p5a,p5a,"1-3,9"
Pregunta 5b ¿Le preocupa a ... esta situación?,1,C,p5b,p5b,"1-6,9"
Pregunta 5c Horas lunes,2,C,p5c_hlu,,"00-24,98,99"
Pregunta 5c Minutos lunes,2,C,p5c_mlu,,00-59
Pregunta 5c Horas martes,2,C,p5c_hma,,"00-24,98,99"
Pregunta 5c Minutos martes,2,C,p5c_mma,,00-59
Pregunta 5c Horas miércoles,2,C,p5c_hmi,,"00-24,98,99"
Pregunta 5c Minutos miércoles,2,C,p5c_mmi,,00-59
Pregunta 5c Horas jueves,2,C,p5c_hju,,"00-24,98,99"
Pregunta 5c Minutos jueves,2,C,p5c_mju,,00-59
Pregunta 5c Horas viernes,2,C,p5c_hvi,,"00-24,98,99"
Pregunta 5c Minutos viernes,2,C,p5c_mvi,,00-59
