CVE,DESCRIP
1,Comenzó en enero
2,Comenzó en febrero
3,Comenzó en marzo
4,Comenzó en abril
5,Comenzó en mayo
6,Comenzó en junio
7,Comenzó en julio
8,Comenzó en agosto
9,Comenzó en septiembre
10,Comenzó en octubre
11,Comenzó en noviembre
12,Comenzó en diciembre
99,No sabe el mes que comenzó
