CVE,DESCRIP
1,Exceso de trabajo
2,Obtener más ingresos
3,Horas extras
4,"Temporada alta (clientes, ventas, siembra o cosecha)"
5,"Reducción o suspensión del trabajo (falta de ventas o clientes, temporada baja, paro técnico)"
6,Término del contrato o temporada de trabajo
7,Causas climatológicas
8,Vacaciones o días festivos
9,Enfermedad o accidente
10,"Cuidar o atender a niños, enfermos o ancianos"
11,Otros motivos personales o familiares
12,Ninguno de los anteriores
99,No sabe
