CVE,DESCRIP
1,"de tipo independiente, personal o familiar?"
2,"una compañía o empresa del sector privado (sociedad mercantil: anónima o bajo otra modalidad; transnacional, cadena comercial, bancaria o de servicios)?"
3,Ninguno de los anteriores
