CVE,DESCRIP
1,Terminó en enero
2,Terminó en febrero
3,Terminó en marzo
4,Terminó en abril
5,Terminó en mayo
6,Terminó en junio
7,Terminó en julio
8,Terminó en agosto
9,Terminó en septiembre
10,Terminó en octubre
11,Terminó en noviembre
12,Terminó en diciembre
99,No sabe mes que terminó
