CVE,DESCRIP
1,Huelga o paro laboral
2,Paro técnico
3,Suspensión temporal de sus funciones (asalariado)
4,Asistencia a cursos de capacitación
5,Vacaciones
6,"Permiso, enfermedad o arreglo de asuntos personales"
7,Falta de vehículo o descompostura de maquinaria
8,"Falta de materias primas, financiamiento o clientes"
9,Mal tiempo o fenómeno natural
10,Término de temporada de trabajo o cultivo
11,Comenzará un trabajo o negocio nuevo
12,Otra razón
99,No sabe
