CVE,DESCRIP
1,1 persona
2,2 a 5 personas
3,6 a 10 personas
4,11 a 15 personas
5,16 a 20 personas
6,21 a 30 personas
7,31 a 50 personas
8,51 a 100 personas
9,101 a 250 personas
10,251 a 500 personas
11,501 y más personas
99,No sabe
