CVE,DESCRIP
1,Trabaja solo cuando lo llaman o solicitan sus servicios
2,Sólo hay trabajo durante algunas épocas o temporadas del año
3,Trabaja solo en periodos de vacaciones escolares
4,No necesita trabajar todo el año
5,Motivos personales o familiares
6,Otro motivo
9,No sabe
