CVE,DESCRIP
1,en las instalaciones (o vehículos) de …
2,en las instalaciones de otra empresa o institución a donde se le envía?
3,visitando a distintos clientes?
4,en el lugar de la obra?
5,Ninguna de las anteriores
9,No sabe
