CVE,DESCRIP 
1,Conflicto laboral y/o sindical
2,Conflicto con su jefe o superior
3,Falta de calificación o capacitación
4,Ya no hubo más trabajo
5,Incumplimiento con la empresa
6,Discriminación por su aspecto físico
7,La edad (joven o viejo)
8,Enfermedad o discapacidad
9,Embarazo y/o responsabilidades maternas
10,Ninguno de los anteriores
99,No sabe
