CVE,DESCRIP  
1,el Seguro Social (IMSS)?
2,"el hospital o clínica naval, militar o de Pemex?"
3,el ISSSTE?
4,"el ISSSTE estatal (ISSSTELEÓN, ISSEMYM)?"
5,otra institución médica?
6,No recibe atención médica
9,No sabe
