CVE,DESCRIP  
1,Nombre de la empresa
2,El negocio no tiene nombre o razón social
3,Es trabajador subordinado de una unidad doméstica o trabajador(a) de otro trabajador(a)
4,Fue trabajador(a) trabajador(a) en el extranjero
9,No sabe
