"Encuesta Nacional de Ocupación y Empleo (ENOE), población de 15 años y más de edad"
,
Nombre de archivo,Título de Tablas
conjunto_de_datos_coe1_enoe_2026_1t,Cuestionario de ocupación y empleo parte I 
conjunto_de_datos_coe2_enoe_2026_1t,Cuestionario de ocupación y empleo parte II
conjunto_de_datos_hog_enoe_2026_1t,Hogares
conjunto_de_datos_sdem_enoe_2026_1t,Caracaterísticas sociodemográficas
conjunto_de_datos_viv_enoe_2026_1t,Vivienda
