CVE,DESCRIP
0,Entrevista completa
1,Nadie en el momento de la entrevista
2,Ausente temporal
3,Se negó a dar información
4,Informante inadecuado
5,Otro motivo
6,Adecuada para habitarse
7,De uso temporal
8,Inadecuada para habitarse
9,De uso temporal para fines diferentes de habitación
10,Demolida
11,Cambió de sitio (móvil)
12,Uso permanente para fines diferentes a los de habitación
13,Otro motivo
14,El hogar se mudó
15,Entrevista suspendida
