CVE,DESCRIP
1,Buscar trabajo
2,Cambio u oferta de trabajo
3,Reunirse con la familia
4,Se casó o unió
5,Estudiar
6,"Por inseguridad o delincuencia (asaltos, extorsiones, homicidios)"
7,"Por violencia (entre vecinos, comunidad, intrafamiliar)"
8,Por sus creencias religiosas
9,Por desastres naturales
10,Lo deportaron (regresaron)
11,Otra causa (Especifica)
