CVE,DESCRIP
0,No aplica
1,Hasta 1 mes
2,Más de 1 mes hasta 3 meses
3,Más de 3 mes hasta 6 meses
4,Más de 6 meses hasta 1 año
5,Más de 1 año
6,No especificado
