CVE,DESCRIP
0,No aplica
1,"Agricultura, ganadería, silvicultura, caza y pesca"
2,Industria extractiva y de la electricidad
3,Industria manufacturera
4,Construcción
5,Comercio
6,Restaurantes y servicios de alojamiento
7,"Transportes, comunicaciones, correo y almacenamiento"
8,"Servicios profesionales, financieros y corporativos"
9,Servicios sociales
10,Servicios diversos
11,Gobierno y organismos internacionales
