CVE,DESCRIP
0,No aplica
1,Ausentes temporales con vínculo laboral
2,Menos de 15 horas
3,De 15 a 24 horas
4,De 25 a 34 horas
5,De 35 a 39 horas
6,De 40 a 48 horas
7,De 49 a 56 horas
8,Más de 56 horas
9,No especificado
