CVE,DESCRIP
0,No aplica
1,Sin prestaciones
2,Solo acceso a instituciones de salud
3,Acceso de instituciones de salud y otras prestaciones
4,No tiene acceso a instituciones de salud pero si a otras prestaciones
5,No especificado
