CVE,DESCRIP
0,No aplica
1,Menores de 1 año
2,De 1 a 4 años
3,De 5 a 9 años
4,De 10 a 11 años
5,De 12 a 14 años
6,De 15 a 19 años
7,De 20 a 24 años
8,De 25 a 29 años
9,De 30 a 34 años
10,De 35 a 39 años
11,De 40 a 44 años
12,De 45 a 49 años
13,De 50 a 54 años
14,De 55 a 59 años
15,De 60 a 64 años
16,De 65 a 69 años
17,De 70 a 74 años
18,De 75 años y más
19,No especificado
