CVE,DESCRIP
0,No aplica
1,Hasta un salario mínimo
2,Más de 1 hasta 2 salarios mínimos
3,Más de 2 hasta 3 salarios mínimos
4,Más de 3 hasta 5 salarios mínimos
5,Más de 5 salarios mínimos
6,No recibe ingresos
7,No especificado
