CVE,DESCRIP
0,No aplica
1,Ocupado pleno
2,Ocupado Sin Pago
3,Ocupado ausente con nexo laboral
4,Ocupado ausente con retorno asegurado
5,Desocupados Iniciadores
6,Desocupados con búsqueda
7,Desocupados Ausentes sin ingreso y sin nexo laboral
