CVE,DESCRIP
0,No aplica
1,"Profesionales, técnicos y trabajadores del arte"
2,Trabajadores de la educación
3,Funcionarios y directivos
4,Oficinistas
5,Trabajadores industriales  artesanos y ayudantes
6,Comerciantes
7,Operadores de transporte
8,Trabajadores en servicios personales
9,Trabajadores en protección y vigilancia
10,Trabajadores agropecuarios
11,No especificado
