CVE,DESCRIP
0,No aplica
1,Disponible para trabajar que han desistido de buscar empleo
2,Disponibles para trabajar que  no buscan empleo por considerar que no tienen posibilidades
3,Con interés para trabajar pero bajo un contexto que les impide hacerlo
4,Sin interés por trabajar por atender otras obligaciones
5,Con impedimentos físicos para trabajar
6,Otros
