CVE,DESCRIP
0,No aplica
1,Instituciones financieras
2,Corporaciones y sociedades no financieras
3,Agropecuario
4,No agropecuario
5,Gobierno
6,Privadas
7,Públicas
8,Sector Informal
9,Trabajo doméstico remunerado
10,Agricultura de subsistencia
11,Situaciones de carácter especial y no especificadas
