CVE,DESCRIP
1,Trabajo
2,Estudios
3,Se casó o unió
4,Se separó o divorció
5,Problemas de salud
6,Reunirse con la familia
7,Inseguridad pública
8,Nació
9,Fue omitido
10,Otro motivo
99,No sabe
