CVE,DESCRIP
0,No aplica
1,Empresas constituidas en sociedad y corporativas
2,Negocios no constituidos en sociedad
3,Privadas
4,Públicas
5,Sector informal
6,Trabajo doméstico remunerado
7,Agricultura de auto subsistencia
