CVE,DESCRIP
0,No aplica
1,Solo PEA
2,PEA y estudian
3,PEA y quehaceres domésticos
4,PEA y apoyos al hogar
5,PEA y otras actividades
6,Solo PNEA
7,PNEA y estudian
8,PNEA y quehaceres domésticos
9,PNEA y apoyos al hogar
10,PNEA y otras actividades
