,Nuestra base,INEGI publicado,Diferencia,Dif. relativa,Veredicto
Población de 15 años y más (millones),104.074365,105.03333333333335,-0.9589683333333454,-0.9 %,✔ Coincide
Población ocupada (millones),59.8933,60.06666666666666,-0.17336666666665934,-0.3 %,✔ Coincide
Población desocupada (millones),1.565125,1.5999999999999999,-0.03487499999999977,-2.2 %,✔ Coincide
Tasa de participación (%),59.052414107931384,58.699999999999996,0.35241410793138783,0.6 %,✔ Coincide
Tasa de desocupación (%),2.546640269417903,2.566666666666667,-0.02002639724876376,-0.8 %,✔ Coincide
Tasa de informalidad laboral (%),55.03615095511518,54.833333333333336,0.20281762178184692,0.4 %,✔ Coincide
