bloque,vars,R2,acierto_20,aporte
"Lo básico
(edad, sexo,
estado)",4,0.23265939447340445,31.88555730821061,0.23265939447340445
"+ Contexto
geográfico",9,0.26858909815262844,33.33348182003115,0.03592970367922399
"+ Lo declarado
en solicitud",13,0.34817726206157884,34.34533418185801,0.0795881639089504
"+ Situación laboral
(NO disponible)",20,0.5713518912687591,42.29093162551102,0.22317462920718023
