ent,nr
18,8.48575327225442
07,10.654075149679421
04,12.388459400737709
13,15.476599261442834
16,17.616070268119184
10,19.111718819402597
12,19.863066903640362
03,20.10762414082006
05,20.716224619851893
31,21.85620221453392
28,22.90394134423113
30,23.820817396584996
06,23.855224831128695
25,23.863200147174496
27,24.826460576976732
26,25.48653144304003
23,25.63519480878825
15,26.244563359428536
20,27.675585006449676
08,28.95468866235673
32,32.33139050791007
21,33.777204489747994
11,33.952819602203064
29,34.50886510335812
24,36.30451496636506
19,36.64558585032505
14,40.685311510763576
02,40.75143557128812
01,43.41396830211572
09,46.92390943508792
17,46.93134066702633
22,47.99679881593531
