CVE,DESCRIP
Blanco,No aplica
1,Resultado preliminar en enero
2,Resultado preliminar en febrero
3,Resultado preliminar en marzo
4,Resultado preliminar en abril
5,Resultado preliminar en mayo
6,Resultado preliminar en junio
7,Resultado preliminar en julio
8,Resultado preliminar en agosto
9,Resultado preliminar en septiembre
10,Resultado preliminar en octubre
11,Resultado preliminar en noviembre
12,Resultado preliminar en diciembre
99,No Especificado
