CVE,DESCRIP
Blanco,No aplica
1,Resultado definitivo en enero
2,Resultado definitivo en febrero
3,Resultado definitivo en marzo
4,Resultado definitivo en abril
5,Resultado definitivo en mayo
6,Resultado definitivo en junio
7,Resultado definitivo en julio
8,Resultado definitivo en agosto
9,Resultado definitivo en septiembre
10,Resultado definitivo en octubre
11,Resultado definitivo en noviembre
12,Resultado definitivo en diciembre
99,No Especificado
