columna,modulo_origen,variable_original,descripcion,dtype,no_nulos_%,n_unicos
tue2,sdem,tue2,Clasificación de la población ocupada por tipo de unidad económica-Subtotales,int64,100.0,8
tue3,sdem,tue3,Clasificación de la población ocupada por tipo de unidad,int64,100.0,3
busqueda,sdem,busqueda,Clasificación de la población ocupada buscador de otro trabajo,int64,100.0,3
d_ant_lab,sdem,d_ant_lab,Clasificación de la población desocupada por antecedentes,int64,100.0,3
d_cexp_est,sdem,d_cexp_est,Clasificación de la población desocupada por condición de desocupación,int64,100.0,5
dur_des,sdem,dur_des,Clasificación de la duración del desempleo,int64,100.0,7
sub_o,sdem,sub_o,Población subocupada,int64,100.0,2
s_clasifi,sdem,s_clasifi,Clasificación de la población subocupada,int64,100.0,7
remune2c,sdem,remune2c,Población subordinada y remunerada,int64,100.0,3
pre_asa,sdem,pre_asa,Población subordinada y remunerada por prestaciones laborales (sin considerar el acceso a las instituciones de salud),int64,100.0,4
tip_con,sdem,tip_con,Clasificación de la población subordinada y remunerada por disponibilidad de contrato escrito,int64,100.0,6
dispo,sdem,dispo,Población no económicamente activa disponible,int64,100.0,7
nodispo,sdem,nodispo,Población no económicamente activa no disponible,int64,100.0,8
c_inac5c,sdem,c_inac5c,Clasificación de la población no económicamente activa no disponible por condición de inacividad,int64,100.0,6
pnea_est,sdem,pnea_est,Composición de la población no económicamente activa,int64,100.0,7
niv_ins,sdem,niv_ins,Clasificación de la población de 5 años y más por nivel de instrucción,int64,100.0,6
eda5c,sdem,eda5c,Clasificación de la población de 15 años y más: Grupo edad 5 claves,int64,100.0,6
eda7c,sdem,eda7c,Clasificación de la población de 15 años y más: Grupo edad 7 claves,int64,100.0,8
eda12c,sdem,eda12c,Clasificación de la población de 15 años y más: Grupo edad 12 claves,int64,100.0,13
eda19c,sdem,eda19c,Clasificación de la población total en grupos de edad,int64,100.0,19
hij5c,sdem,hij5c,Clasificación de la población femenina de 15 años y más por número de hijos,int64,100.0,6
domestico,sdem,domestico,Clasificación de la población de 15 años y más por condición de actividad e inactividad,int64,100.0,11
anios_esc,sdem,anios_esc,Años de escolaridad,float64,99.7,25
hrsocup,sdem,hrsocup,Horas trabajadas en la semana,int64,100.0,122
