columna,modulo_origen,variable_original,descripcion,dtype,no_nulos_%,n_unicos
c1_p5g14,coe1,p5g14,Pregunta 5g Opción 14: Trabaja todos los meses del año,object,84.5,2
c1_p5g15,coe1,p5g15,Pregunta 5g Opción 15: Tiene menos de un año en este trabajo,object,84.5,2
c1_p5g99,coe1,p5g99,Pregunta 5g Opción 99: no sabe,object,84.5,2
c1_p5h,coe1,p5h,Pregunta 5h ¿Cuál es el motivo principal por el que ... no trabaja todos los meses del año?,object,84.5,7
c1_ur,coe1,ur,Urbano/Rural,string,84.5,2
c1_fac_tri,coe1,fac_tri,Ponderador trimestral,float64,84.5,1755
c1_fac_men,coe1,fac_men,Ponderador mensual,float64,84.5,3553
c1_cve_mun,coe1,cve_mun,Clave del municipio,object,84.5,221
c1_cvegeo,coe1,cvegeo,Clave geoestadística,float64,84.5,1038
c2_upm,coe2,upm,Unidad primaria de muestreo,string,84.5,21171
c2_d_sem,coe2,d_sem,Distribución semanal,string,84.5,65
c2_n_pro_viv,coe2,n_pro_viv,Número progresivo de la vivienda,string,84.5,471
c2_n_ent,coe2,n_ent,Número de entrevista o visita,string,84.5,5
c2_per,coe2,per,Periodo,string,84.5,1
c2_eda,coe2,eda,Edad,float64,84.5,87
c2_n_inf,coe2,n_inf,Renglón del Informante,float64,84.5,19
c2_p6_1,coe2,p6_1,Pregunta 6 Opción 1: por comisión?,object,84.5,2
c2_p6_2,coe2,p6_2,"Pregunta 6 Opción 2: a destajo (por pieza), servicio u obra realizada?",object,84.5,2
c2_p6_3,coe2,p6_3,Pregunta 6 Opción 3: por honorarios?,object,84.5,2
c2_p6_4,coe2,p6_4,Pregunta 6 Opción 4: con propinas?,object,84.5,2
c2_p6_5,coe2,p6_5,Pregunta 6 Opción 5: con bonos de compensación o de productividad?,object,84.5,2
c2_p6_6,coe2,p6_6,Pregunta 6 Opción 6: con vales o productos comercializables?,object,84.5,2
c2_p6_7,coe2,p6_7,"Pregunta 6 Opción 7: Solo recibe sueldo, salario o jornal",object,84.5,2
c2_p6_8,coe2,p6_8,Pregunta 6 Opción 8: Solo lo que le deja su negocio,object,84.5,2
c2_p6_9,coe2,p6_9,Pregunta 6 Opción 9: no le pagan ni recibe ingresos (incluye autoconsumo agropecuario),object,84.5,2
c2_p6_10,coe2,p6_10,Pregunta 6 Opción 10: ninguna de las anteriores,object,84.5,2
c2_p6_99,coe2,p6_99,Pregunta 6 Opción 99: no sabe,object,84.5,2
c2_p6a1,coe2,p6a1,"Pregunta 6a Opción 1: a sueldo, salario o jornal?",object,84.5,2
c2_p6a2,coe2,p6a2,Pregunta 6a Opción 2: por ganancias o de lo que deja su negocio?,object,84.5,2
c2_p6a3,coe2,p6a3,Pregunta 6a Opción 3: no le pagan ni recibe ingresos (incluye autoconsumo agropecuario),object,84.5,2
c2_p6a4,coe2,p6a4,Pregunta 6a Opción 4: ninguna de las anteriores,object,84.5,2
c2_p6a9,coe2,p6a9,Pregunta 6a Opción 9: no sabe,object,84.5,2
c2_p6b1,coe2,p6b1,Pregunta 6b ¿Cada cuándo obtiene ... sus ingresos o le pagan?,object,84.5,9
c2_p6b2,coe2,p6b2,Pregunta 6b Cantidad en  pesos,float64,31.0,1489
c2_p6c,coe2,p6c,"Pregunta 6c Actualmente el salario mínimo mensual es de $ , ¿la cantidad que ... Obtiene al mes por su trabajo es",object,84.5,10
c2_p6d,coe2,p6d,Pregunta 6d Por parte de este trabajo ¿... tiene acceso a atención médica en,object,84.5,8
c2_p6e,coe2,p6e,"Pregunta 6e ¿En qué municipio (alcaldía) está el negocio, empresa o lugar donde trabajó ... la semana pasada?",object,84.5,4
c2_p6e_c,coe2,p6e_c,"Pregunta 6e Clave del municipio (alcaldía) donde está el negocio, empresa o lugar donde trabajó ... la semana pasada",object,84.5,302
c2_p6f,coe2,p6f,Pregunta 6f ¿En qué estado o país?,object,84.5,5
c2_p6f_c,coe2,p6f_c,Pregunta 6f Clave del estado o país,object,84.5,45
c2_p6g,coe2,p6g,"Pregunta 6g ¿El lugar donde trabajó ... la semana pasada, es el mismo donde está el negocio, la empresa o el lugar para el que trabaja?",object,84.5,4
c2_p6h,coe2,p6h,"Pregunta 6h ¿En qué municipio (alcaldía) está el negocio, empresa o el lugar para la que trabaja ...?",object,84.5,4
c2_p6h_c,coe2,p6h_c,"Pregunta 6h Clave del municipio (alcaldía) donde está el negocio, empresa o el lugar para la que trabaja ...",object,84.5,126
c2_p6i,coe2,p6i,Pregunta 6i ¿En qué estado o país?,object,84.5,5
c2_p6i_c,coe2,p6i_c,Pregunta 6i Clave del estado o país,object,84.5,48
c2_p7,coe2,p7,"Pregunta 7 Además del trabajo principal del que ya hablamos, ¿... tiene o realiza otra actividad como",object,84.5,9
c2_p7a,coe2,p7a,Pregunta 7a ¿Cuáles son las tareas o funciones principales que … desempeña en su segundo trabajo?,object,84.5,358
c2_p7b,coe2,p7b,"Pregunta 7b ¿Cuál es el nombre de la empresa, negocio o institución para la que ... realiza este otro trabajo?",object,84.5,6
c2_p7c,coe2,p7c,"Pregunta 7c ¿A qué se dedica esta empresa, negocio o institución donde trabaja o ayuda ... en su segundo trabajo?",object,84.5,133
c2_p7d,coe2,p7d,"Pregunta 7d Por parte de este segundo trabajo, ¿... tiene acceso a atención médica en",object,84.5,6
c2_p7e,coe2,p7e,Pregunta 7e ¿Aproximadamente cuántas personas laboran donde trabaja ... en su segundo empleo?,object,84.5,13
c2_p7f,coe2,p7f,Pregunta 7f ¿Cuántos días y cuántas horas le dedicó ... a su segundo trabajo la semana pasada?,object,84.5,3
c2_p7f_dias,coe2,p7f_dias,Pregunta 7f,object,84.5,9
c2_p7f_horas,coe2,p7f_horas,Pregunta 7f,object,84.5,65
c2_p7g1,coe2,p7g1,Pregunta 7g Opción 1: en efectivo,object,84.5,2
c2_p7g2,coe2,p7g2,Pregunta 7g Opción 2: en especie,object,84.5,2
c2_p7g3,coe2,p7g3,Pregunta 7g Opción 3: no le pagan ni recibe ingresos (incluye autoconsumo agropecuario),object,84.5,2
c2_p7g9,coe2,p7g9,Pregunta 7g Opción 9: no sabe,object,84.5,2
c2_p7gcan,coe2,p7gcan,Pregunta 7g Cantidad en  pesos,float64,1.8,228
c2_p8_1,coe2,p8_1,Pregunta 8 Opción 1: buscar otro trabajo en otro país o hacer preparativos para cruzar la frontera?,object,84.5,2
c2_p8_2,coe2,p8_2,Pregunta 8 Opción 2: buscar otro trabajo aquí en el país?,object,84.5,2
c2_p8_3,coe2,p8_3,"Pregunta 8 Opción 3: poner un negocio o realizar una actividad por su cuenta, sin poder todavía comenzar?",object,84.5,2
c2_p8_4,coe2,p8_4,"Pregunta 8 Opción 4: entonces, ¿no ha tratado de buscar otro trabajo?",object,84.5,2
c2_p8_9,coe2,p8_9,Pregunta 8 Opción 9: no sabe,object,84.5,2
c2_p8a,coe2,p8a,Pregunta 8a Lo que ... intenta ¿es,object,84.5,6
c2_p8b,coe2,p8b,Pregunta 8b ¿Cuál es el motivo principal por el que ... está buscando otro trabajo?,object,84.5,10
c2_p9,coe2,p9,Pregunta 9 Alguna vez ... se quedó sin trabajo o negocio y tuvo que buscar otro?,object,84.5,4
c2_p9a,coe2,p9a,"Pregunta 9a La última vez que ... se quedó sin trabajo, ¿cuál era la situación?",object,84.5,10
c2_p9b,coe2,p9b,"Pregunta 9b En esa ocasión,",object,84.5,9
c2_p9c,coe2,p9c,Pregunta 9c ¿Cuál fue el motivo principal?,object,84.5,12
c2_p9d,coe2,p9d,Pregunta 9d ¿Cuál fue el motivo principal para separarse de ese trabajo?,object,84.5,14
c2_p9e,coe2,p9e,Pregunta 9e ¿Cuál fue el motivo principal por el que ... se vio obligado a dejar ese negocio o actividad por su cuenta?,object,84.5,16
c2_p9f_anio,coe2,p9f_anio,Pregunta 9f ¿En qué año ... terminó (o suspendió) ese trabajo u oficio?,object,84.5,83
c2_p9f_mes,coe2,p9f_mes,Pregunta 9f,object,84.5,14
c2_p9f,coe2,p9f,Pregunta 9f,object,84.5,5
c2_p9g,coe2,p9g,Pregunta 9g ¿Cuáles eran las tareas o funciones principales que … desempeñaba en ese trabajo?,object,84.5,449
c2_p9h,coe2,p9h,"Pregunta 9h ¿Cuál es el nombre de la empresa, negocio o institución para la que ... realizaba ese trabajo?",object,84.5,6
c2_p9h_1,coe2,p9h_1,Pregunta 9h,object,84.5,2
c2_p9i,coe2,p9i,"Pregunta 9i ¿A que se dedica o dedicaba la empresa, negocio o institución donde trabajaba?",object,84.5,165
c2_p9j,coe2,p9j,Pregunta 9j,object,84.5,4
c2_p9k,coe2,p9k,"Pregunta 9k Por parte de ese trabajo, ¿... tenía acceso a atención médica en",object,84.5,8
c2_p9l1,coe2,p9l1,Pregunta 9l Opción 1: aguinaldo?,object,84.5,2
c2_p9l2,coe2,p9l2,Pregunta 9l Opción 2: vacaciones con goce de sueldo?,object,84.5,2
c2_p9l3,coe2,p9l3,Pregunta 9l Opción 3: reparto de utilidades?,object,84.5,2
c2_p9l4,coe2,p9l4,Pregunta 9l Opción 4: ninguna de las anteriores,object,84.5,2
c2_p9l5,coe2,p9l5,Pregunta 9l Opción 5: no le daban nada,object,84.5,2
c2_p9l9,coe2,p9l9,Pregunta 9l Opción 9: no sabe,object,84.5,2
c2_p9m1,coe2,p9m1,Pregunta 9m Opción 1: en efectivo,object,84.5,2
c2_p9m2,coe2,p9m2,Pregunta 9m Opción 2: en especie,object,84.5,2
c2_p9m3,coe2,p9m3,Pregunta 9m Opción 3: no recibía ingresos,object,84.5,2
c2_p9m9,coe2,p9m9,Pregunta 9m Opción 9: no sabe,object,84.5,2
c2_p9mcan,coe2,p9mcan,Pregunta 9m,float64,5.2,421
c2_p9n1,coe2,p9n1,Pregunta 9n Opción 1: liquidación o indemnización de un empleo?,object,84.5,2
c2_p9n2,coe2,p9n2,"Pregunta 9n Opción 2: la venta, traspaso o liquidación de un negocio?",object,84.5,2
c2_p9n3,coe2,p9n3,Pregunta 9n Opción 3: pensión o jubilación?,object,84.5,2
c2_p9n4,coe2,p9n4,Pregunta 9n Opción 4: seguro de desempleo?,object,84.5,2
c2_p9n5,coe2,p9n5,Pregunta 9n Opción 5: seguro de separación individual?,object,84.5,2
c2_p9n6,coe2,p9n6,Pregunta 9n Opción 6: no cuenta con ningún ingreso derivado de un trabajo anterior,object,84.5,2
c2_p9n9,coe2,p9n9,Pregunta 9n Opción 9: no sabe,object,84.5,2
c2_p10_1,coe2,p10_1,Pregunta 10 Opción 1: beca de capacitación o ayuda económica para encontrar trabajo?,object,84.5,2
c2_p10_2,coe2,p10_2,"Pregunta 10 Opción 2: apoyo para realizar una actividad por su cuenta (Procampo, microcréditos)?",object,84.5,2
c2_p10_3,coe2,p10_3,"Pregunta 10 Opción 3: ayuda de otro programa de gobierno (beca de estudio, despensa)?",object,84.5,2
c2_p10_4,coe2,p10_4,Pregunta 10 Opción 4: no ha recibido nada del gobierno,object,84.5,2
c2_p10_9,coe2,p10_9,Pregunta 10 Opción 9: no sabe,object,84.5,2
c2_p10a1,coe2,p10a1,Pregunta 10a Opción 1: en el extranjero?,object,84.5,2
c2_p10a2,coe2,p10a2,Pregunta 10a Opción 2: en otro estado del país?,object,84.5,2
c2_p10a3,coe2,p10a3,Pregunta 10a Opción 3: en este mismo estado?,object,84.5,2
c2_p10a4,coe2,p10a4,Pregunta 10a Opción 4: no ha recibido nada,object,84.5,2
c2_p10a9,coe2,p10a9,Pregunta 10a Opción 9: no sabe,object,84.5,2
c2_p10b,coe2,p10b,Pregunta 10b ¿... cuenta con el Seguro Popular de Salud?,float64,84.5,3
c2_p11_1,coe2,p11_1,Pregunta 11 Opción 1: estudiar o tomar cursos de capacitación?,object,84.5,2
c2_p11_h1,coe2,p11_h1,Pregunta 11 Horas,object,84.5,87
c2_p11_m1,coe2,p11_m1,Pregunta 11 Minutos,object,84.5,16
c2_p11_2,coe2,p11_2,"Pregunta 11 Opción 2: cuidar o atender sin pago, de manera exclusiva a niños, ancianos, enfermos o discapacitados?",object,84.5,2
c2_p11_h2,coe2,p11_h2,Pregunta 11 Horas,object,84.5,89
c2_p11_m2,coe2,p11_m2,Pregunta 11 Minutos,object,84.5,22
c2_p11_3,coe2,p11_3,"Pregunta 11 Opción 3: realizar compras, llevar cuentas o realizar trámites para el hogar o encargarse de la seguridad?",object,84.5,2
c2_p11_h3,coe2,p11_h3,Pregunta 11 Horas,object,84.5,54
c2_p11_m3,coe2,p11_m3,Pregunta 11 Minutos,object,84.5,33
c2_p11_4,coe2,p11_4,"Pregunta 11 Opción 4: llevar a algún miembro del hogar a la escuela, cita médica u otra actividad?",object,84.5,2
c2_p11_h4,coe2,p11_h4,Pregunta 11 Horas,object,84.5,49
c2_p11_m4,coe2,p11_m4,Pregunta 11 Minutos,object,84.5,26
c2_p11_5,coe2,p11_5,Pregunta 11 Opción 5: construir o ampliar su vivienda?,object,84.5,2
c2_p11_h5,coe2,p11_h5,Pregunta 11 Horas,object,84.5,41
c2_p11_m5,coe2,p11_m5,Pregunta 11 Minutos,object,84.5,9
c2_p11_6,coe2,p11_6,"Pregunta 11 Opción 6: reparar o dar mantenimiento a su vivienda, muebles, aparatos electrodomésticos o vehículos?",object,84.5,2
c2_p11_h6,coe2,p11_h6,Pregunta 11 Horas,object,84.5,44
c2_p11_m6,coe2,p11_m6,Pregunta 11 Minutos,object,84.5,20
c2_p11_7,coe2,p11_7,Pregunta 11 Opción 7: realizar los quehaceres de su hogar?,object,84.5,2
c2_p11_h7,coe2,p11_h7,Pregunta 11 Horas,object,84.5,90
c2_p11_m7,coe2,p11_m7,Pregunta 11 Minutos,object,84.5,28
c2_p11_8,coe2,p11_8,Pregunta 11 Opción 8: prestar servicios gratuitos a su comunidad?,object,84.5,2
c2_p11_h8,coe2,p11_h8,Pregunta 11 Horas,object,84.5,51
c2_p11_m8,coe2,p11_m8,Pregunta 11 Minutos,object,84.5,18
c2_ur,coe2,ur,Urbano/Rural,string,84.5,2
c2_fac_tri,coe2,fac_tri,Ponderador trimestral,float64,84.5,1755
c2_fac_men,coe2,fac_men,Ponderador mensual,float64,84.5,3553
c2_cve_mun,coe2,cve_mun,Clave del municipio,object,84.5,221
c2_cvegeo,coe2,cvegeo,Clave geoestadística,float64,84.5,1038
hog_cve_loc,hog,cve_loc,Número de la localidad,object,100.0,1
hog_cve_mun,hog,cve_mun,Número de municipio según entidad,object,100.0,221
hog_est,hog,est,Estrato nacional y estatal,int64,100.0,4
hog_est_d_tri,hog,est_d_tri,Estrato de diseño trimestral,int64,100.0,723
hog_est_d_men,hog,est_d_men,Estrato de diseño mensual,object,100.0,724
hog_cve_ageb,hog,cve_ageb,Número de ageb del marco nacional,int64,100.0,1
hog_t_loc_tri,hog,t_loc_tri,Tamaño de localidad trimestral,int64,100.0,4
hog_t_loc_men,hog,t_loc_men,Tamaño de localidad mensual,object,100.0,5
hog_upm,hog,upm,Unidad primaria de muestreo,string,100.0,21171
hog_d_sem,hog,d_sem,Distribución semanal,string,100.0,65
hog_n_pro_viv,hog,n_pro_viv,Número progresivo de la vivienda,string,100.0,471
hog_n_ent,hog,n_ent,Numero de entrevista o visita,string,100.0,5
hog_per,hog,per,Periodo,string,100.0,1
hog_r_pre,hog,r_pre,Resultado preliminar de la entrevista,int64,100.0,15
hog_p_dia,hog,p_dia,Día del resultado preliminar,int64,100.0,31
hog_p_mes,hog,p_mes,Mes del resultado preliminar,int64,100.0,4
hog_p_anio,hog,p_anio,Año del resultado preliminar,int64,100.0,2
hog_r_def,hog,r_def,Resultado definitivo de la entrevista,int64,100.0,1
hog_d_dia,hog,d_dia,Día del resultado definitivo,int64,100.0,31
hog_d_mes,hog,d_mes,Mes del resultado definitivo,int64,100.0,5
hog_d_anio,hog,d_anio,Año del resultado definitivo,int64,100.0,2
hog_e_obs,hog,e_obs,Entrevista observada,object,100.0,1
hog_p4_1,hog,p4_1,Pregunta 4  ¿En este hogar se contrata a trabajadores domésticos ...,object,100.0,4
hog_p4_2,hog,p4_2,Pregunta 4  ¿Cuántos?,object,100.0,7
hog_inf,hog,inf,Renglón del informante,int64,100.0,18
hog_ur,hog,ur,Urbano/Rural,string,100.0,2
hog_tipolev,hog,tipolev,Tipo de levantamiento de la entrevista,int64,100.0,2
hog_fac_tri,hog,fac_tri,Ponderador trimestral,int64,100.0,1755
hog_fac_men,hog,fac_men,Ponderador mensual,int64,100.0,3553
hog_cvegeo,hog,cvegeo,Clave geoestadistíca,int64,100.0,1038
viv_cve_loc,viv,cve_loc,Número de la localidad,object,100.0,1
viv_cve_mun,viv,cve_mun,Número de municipio según entidad,object,100.0,221
viv_est,viv,est,Estrato nacional y estatal,int64,100.0,4
viv_est_d_tri,viv,est_d_tri,Estrato de diseño trimestral,int64,100.0,723
viv_est_d_men,viv,est_d_men,Estrato de diseño mensual,object,100.0,724
viv_cve_ageb,viv,cve_ageb,Número de ageb del marco nacional,int64,100.0,1
viv_t_loc_tri,viv,t_loc_tri,Tamaño de localidad trimestral,int64,100.0,4
viv_t_loc_men,viv,t_loc_men,Tamaño de localidad mensual,object,100.0,5
viv_upm,viv,upm,Unidad primaria de muestreo,string,100.0,21171
viv_d_sem,viv,d_sem,Distribución semanal,string,100.0,65
viv_n_pro_viv,viv,n_pro_viv,Número progresivo de la vivienda,string,100.0,471
viv_n_ent,viv,n_ent,Numero de entrevista o visita,string,100.0,5
viv_per,viv,per,Periodo,string,100.0,1
viv_p1,viv,p1,Pregunta 1  ¿Cuántas personas viven normalmente en esta vivienda contando a los niños chiquitos y a los ancianos?,object,100.0,18
viv_p2,viv,p2,Pregunta 2  ¿Todas estas personas comparten un mismo gasto para comer?,object,100.0,3
viv_p3,viv,p3,Pregunta 3  ¿Cuántos hogares o grupos de personas tienen gastos separados para comer contando el de usted?,object,100.0,5
viv_ur,viv,ur,Urbano/Rural,string,100.0,2
viv_fac_tri,viv,fac_tri,Ponderador trimestral,int64,100.0,1755
viv_fac_men,viv,fac_men,Ponderador mensual,int64,100.0,3553
viv_cvegeo,viv,cvegeo,Clave geoestadistíca,int64,100.0,1038
ingocup_sm,derivada,ingocup_sm,,float64,100.0,1818
ent_n_muestra,derivada,ent_n_muestra,,int64,100.0,32
ent_pob_expandida,derivada,ent_pob_expandida,,float64,100.0,32
ent_pob_ocupada,derivada,ent_pob_ocupada,,float64,100.0,32
ent_tasa_desocup,derivada,ent_tasa_desocup,,float64,100.0,32
ent_tasa_particip,derivada,ent_tasa_particip,,float64,100.0,32
ent_ing_medio_ocup,derivada,ent_ing_medio_ocup,,float64,100.0,32
ent_ing_mediana_ocup,derivada,ent_ing_mediana_ocup,,float64,100.0,15
ent_ing_p25_ocup,derivada,ent_ing_p25_ocup,,float64,100.0,15
ent_ing_p75_ocup,derivada,ent_ing_p75_ocup,,float64,100.0,18
ent_esc_media,derivada,ent_esc_media,,float64,100.0,32
ent_hrs_media_ocup,derivada,ent_hrs_media_ocup,,float64,100.0,32
ent_cobertura_ing_%,derivada,ent_cobertura_ing_%,,float64,100.0,32
ent_tasa_informalidad,derivada,ent_tasa_informalidad,,float64,100.0,32
ent_acceso_salud,derivada,ent_acceso_salud,,float64,100.0,32
ent_ing_mediana_sm,derivada,ent_ing_mediana_sm,,float64,100.0,24
mun_n_muestra,derivada,mun_n_muestra,,int64,100.0,437
mun_pob_expandida,derivada,mun_pob_expandida,,float64,100.0,1032
mun_pob_ocupada,derivada,mun_pob_ocupada,,float64,100.0,1018
mun_tasa_desocup,derivada,mun_tasa_desocup,,float64,100.0,531
mun_tasa_particip,derivada,mun_tasa_particip,,float64,100.0,882
mun_ing_medio_ocup,derivada,mun_ing_medio_ocup,,float64,100.0,1036
mun_ing_mediana_ocup,derivada,mun_ing_mediana_ocup,,float64,100.0,391
mun_ing_p25_ocup,derivada,mun_ing_p25_ocup,,float64,100.0,499
mun_ing_p75_ocup,derivada,mun_ing_p75_ocup,,float64,100.0,507
mun_esc_media,derivada,mun_esc_media,,float64,100.0,1019
mun_hrs_media_ocup,derivada,mun_hrs_media_ocup,,float64,100.0,1010
mun_cobertura_ing_%,derivada,mun_cobertura_ing_%,,float64,100.0,646
mun_tasa_informalidad,derivada,mun_tasa_informalidad,,float64,100.0,815
mun_acceso_salud,derivada,mun_acceso_salud,,float64,100.0,780
mun_ing_mediana_sm,derivada,mun_ing_mediana_sm,,float64,100.0,455
tloc_n_muestra,derivada,tloc_n_muestra,,int64,100.0,4
tloc_pob_expandida,derivada,tloc_pob_expandida,,float64,100.0,4
tloc_pob_ocupada,derivada,tloc_pob_ocupada,,float64,100.0,4
tloc_tasa_desocup,derivada,tloc_tasa_desocup,,float64,100.0,4
tloc_tasa_particip,derivada,tloc_tasa_particip,,float64,100.0,4
tloc_ing_medio_ocup,derivada,tloc_ing_medio_ocup,,float64,100.0,4
tloc_ing_mediana_ocup,derivada,tloc_ing_mediana_ocup,,float64,100.0,4
tloc_ing_p25_ocup,derivada,tloc_ing_p25_ocup,,float64,100.0,4
tloc_ing_p75_ocup,derivada,tloc_ing_p75_ocup,,float64,100.0,4
tloc_esc_media,derivada,tloc_esc_media,,float64,100.0,4
tloc_hrs_media_ocup,derivada,tloc_hrs_media_ocup,,float64,100.0,4
tloc_cobertura_ing_%,derivada,tloc_cobertura_ing_%,,float64,100.0,4
tloc_tasa_informalidad,derivada,tloc_tasa_informalidad,,float64,100.0,4
tloc_acceso_salud,derivada,tloc_acceso_salud,,float64,100.0,4
tloc_ing_mediana_sm,derivada,tloc_ing_mediana_sm,,float64,100.0,4
mun_ing_mediana_shrunk,derivada,mun_ing_mediana_shrunk,,float64,100.0,948
