cvegeo,mun_n_muestra,mun_pob_expandida,mun_pob_ocupada,mun_tasa_desocup,mun_tasa_particip,mun_ing_medio_ocup,mun_ing_mediana_ocup,mun_ing_p25_ocup,mun_ing_p75_ocup,mun_esc_media,mun_hrs_media_ocup,mun_cobertura_ing_%,mun_tasa_informalidad,mun_acceso_salud,mun_ing_mediana_sm
01001,6365,1028805.0,482303.0,0.020171382600074762,0.595771287595866,13125.717011422792,10000.0,7740.0,15000.0,9.151930441720106,41.62710370866447,53.3197139938713,0.4005117115174486,0.5325448939774374,0.3590064704654561
01002,812,82478.0,34955.0,0.040488608289870984,0.5998679759056028,9052.526279921629,8600.0,6450.0,11957.750000000002,7.16233600737891,41.15471320268917,67.83625730994152,0.6787011872407381,0.29849806894578745,0.6731371321227301
01003,416,43164.0,17220.0,0.026128266033254157,0.5157658314616573,10332.531518624643,9030.0,7000.0,12287.975460122698,7.589055694560281,41.73060394889663,62.42424242424243,0.6245644599303136,0.2695702671312427,0.6731371321227301
01004,204,24274.0,10659.0,0.006061171204774338,0.5779672059941362,9359.482629983679,8600.0,6000.0,11136.826568265682,7.70618769053308,42.077117928511115,80.0,0.5409513087531663,0.4590486912468337,0.7514088916718847
01005,964,105892.0,49715.0,0.0201237779880164,0.6192523982798545,11884.71489491319,9460.0,7000.0,12900.0,8.454198617459298,44.66919440812632,48.63013698630137,0.4386402494217037,0.5291964195916725,0.0
01006,213,25918.0,10907.0,0.0346933356934242,0.5525453567411609,12823.672035480859,10750.0,8000.0,14000.0,8.178102926337033,44.36031906115339,79.34782608695652,0.5032547905015128,0.4422847712478225,0.8975161761636402
01007,781,99263.0,42998.0,0.028754715276366017,0.5861986054339986,9192.002861230329,8600.0,5160.0,11180.0,7.951322547639068,41.65163495976557,67.16867469879519,0.5795618400855854,0.37471510302804784,0.5289946582803651
01008,52,3224.0,1364.0,0.0,0.5365853658536586,9097.692307692309,9600.0,5600.0,12900.0,8.882352941176471,44.31818181818182,59.09090909090909,0.45454545454545453,0.4090909090909091,0.485284909204759
01009,262,29093.0,12305.0,0.015127261085320955,0.5912301353737492,9790.048708654282,8600.0,6450.0,12183.333333333338,6.7544592030360535,42.09199512393336,73.63636363636363,0.5559528646891507,0.4017066233238521,0.7736080724908464
01010,264,29359.0,11707.0,0.005268077151839579,0.570203488372093,9285.33761554128,8600.0,6004.6551724137935,10750.0,6.608161040907388,43.38019988041343,50.467289719626166,0.6800205005552233,0.3146835226787392,0.4487580880818201
01011,424,59926.0,24180.0,0.021290374807739012,0.5768149882903981,10147.306803107826,9816.822429906542,7740.0,12040.0,6.820178219804426,43.06985111662531,62.5,0.41550868486352355,0.5700992555831266,0.8077645585472761
02001,1190,557705.0,229158.0,0.0256556345453927,0.5206484418755493,14748.855751723726,13760.0,10750.0,17200.0,9.032960443518055,43.25338412798157,60.37344398340249,0.38530620794386405,0.4980013789612407,0.6413124533929903
02002,6303,999428.0,481176.0,0.024599086580270865,0.6024907002281837,14743.993631664176,12900.0,10750.0,17200.0,9.126818182731508,38.05504222987015,52.84015852047557,0.37699511197565966,0.5660402846359752,0.32065622669649513
02003,536,93332.0,42981.0,0.023292278325682862,0.5778933406873367,13015.490891082103,12900.0,10750.0,15050.0,8.553604337204817,42.14618087061725,59.67078189300411,0.36374211861054884,0.5932156068960703,0.8016405667412378
02004,6705,1913837.0,909281.0,0.02251813533886316,0.6012537500849534,14996.81072329968,13760.0,11180.0,17200.0,8.77086150335635,39.26247441659949,59.479786900658105,0.36152520507961783,0.5706739720724396,0.6720662018635566
02005,171,46223.0,16583.0,0.056121577779042635,0.4897145724160999,13374.526898557207,12900.0,10750.0,17200.0,7.829695173398525,39.51456310679612,58.730158730158735,0.43604896580835795,0.44244105409153955,0.49082964849768423
02006,545,219804.0,94701.0,0.021643456341171124,0.6403715366905713,11960.51212158253,10527.194336479733,9735.882967607105,12918.751643535426,6.086131280595439,45.684470068953864,72.53218884120172,0.4921806527914172,0.48740773592675896,0.7695749440715883
03001,394,85906.0,39238.0,0.03847284846108606,0.6171622152989927,13531.966438465213,10000.0,7983.345588235294,16000.0,8.625835215235258,38.67814363627096,81.66666666666667,0.3691319639125338,0.4906213364595545,0.8975161761636402
03002,660,87725.0,44201.0,0.013084153883939536,0.6639492753623188,10931.768070194212,9890.0,6450.0,13908.88888888889,7.545326621668002,37.321259700006784,84.22712933753942,0.4437456166150087,0.45949186669984843,0.8975161761636402
03003,4780,330054.0,179372.0,0.015969673529621524,0.6556630107875449,16362.880153980332,12900.0,8600.0,18000.0,9.826419976553911,37.00677920745713,72.15533980582525,0.3939801083781192,0.5325691858261045,1.0436234606553956
03008,2131,424906.0,221541.0,0.02307583761806909,0.6932000281889518,17858.985562967166,15050.0,10000.0,21500.0,8.404297179091591,42.323041784590664,81.46473779385171,0.37895017175150425,0.5480791365932265,1.3462742642454602
04001,672,72983.0,37056.0,0.00983326207781103,0.6644441663836405,7563.59598452508,5785.042194092829,2150.0,9030.0,7.3508077223463,36.10780980138169,80.06042296072508,0.7875647668393783,0.17881044905008636,0.40422310820129514
04002,5640,260553.0,122625.0,0.024773341816446637,0.5784607016589611,11043.650521673555,9600.0,7000.0,13335.898876404493,9.747430401917404,40.02061569826707,85.56351300414626,0.46230377166156983,0.47976350662589196,0.8975161761636402
04003,6434,276331.0,132626.0,0.053563782719150514,0.6294165907432338,12295.490094172921,9030.0,5160.0,15050.0,8.4779976012628,38.2827424486903,72.35639686684074,0.5656884773724609,0.3797520848099166,0.6731371321227301
04004,785,68353.0,30702.0,0.012956116380003215,0.602852484136495,9388.857465111832,6450.0,4474.5901639344265,9030.0,6.230664420188997,36.64696111002541,84.593837535014,0.8075369682756823,0.1145202266953293,0.6598847707175824
04005,245,27079.0,11697.0,0.009652019304038608,0.5503727865796831,10831.74816347646,10750.0,7740.0,14000.0,9.591380774770117,38.852269812772505,83.01886792452831,0.39010002564760193,0.5627083867658373,0.9423919849718222
04006,520,68523.0,23883.0,0.005165160161619528,0.5384100302477545,8402.726817042607,7203.51111111111,3440.0,10320.0,5.146257460998497,38.18477578193694,78.57142857142857,0.769166352635766,0.11200435456182221,0.5385097056981841
04007,145,13025.0,5830.0,0.0,0.5506743737957611,9730.506557688652,6023.450704225353,3870.0,14390.350877192981,8.013973128598849,34.708233276157806,89.23076923076924,0.6291595197255575,0.31217838765008576,0.6282613233145481
04009,403,51322.0,23183.0,0.01483086860445351,0.6170062141115393,9389.08449304175,8600.0,6020.0,12009.815950920245,7.486535988464985,43.91800025881034,94.44444444444444,0.6077298020100936,0.29081654660742784,0.8975161761636402
04010,183,26075.0,12325.0,0.012103238217377365,0.6525956432209818,6551.081941486381,6313.333333333333,2580.0,9004.248251748251,6.039117929050815,37.941501014198785,72.41379310344827,0.8184178498985801,0.12503042596348884,0.359634104155081
04011,424,46215.0,19720.0,0.0,0.6052343236389819,8260.216517575911,6450.0,4300.0,9460.0,6.425814129611598,43.50268762677485,81.76795580110497,0.8281947261663286,0.07018255578093306,0.6282613233145481
04012,75,9150.0,3172.0,0.037037037037037035,0.4576271186440678,7696.136363636364,6987.5,5000.0,8600.0,7.506666666666667,34.34615384615385,84.61538461538461,0.6923076923076923,0.2692307692307692,0.5935608432477562
04013,74,15762.0,8094.0,0.0,0.6440677966101694,6834.7,6425.0,2580.0,10000.0,6.648648648648648,36.86842105263158,78.94736842105263,0.7631578947368421,0.21052631578947367,0.49363389689000203
05002,332,225754.0,106531.0,0.01690613954947722,0.6311255809619215,12781.846917386627,12040.0,8600.0,13760.0,7.925666876334417,39.43032544517558,82.89473684210526,0.32146511344115797,0.6368568773408679,0.8044504408927019
05003,96,39481.0,14910.0,0.02043229748373957,0.4990491803278689,11559.527610999927,12000.0,6450.0,14468.649517684888,7.371165877257415,40.215224681421866,88.57142857142857,0.4302481556002683,0.5697518443997317,1.2523481527864746
05004,241,33313.0,18064.0,0.030953275038892763,0.7237817899437002,13897.647663423324,10750.0,8027.66550522648,15050.0,8.499744844355057,41.50088573959256,81.14754098360656,0.3662533215234721,0.58303808680248,1.0321436025881863
05006,67,10949.0,3888.0,0.17469751645085968,0.5250904159132007,9283.324445691833,8904.0990990991,7052.871621621622,12900.0,8.427801625719244,36.22839506172839,80.76923076923077,0.49588477366255146,0.48739711934156377,0.8975161761636402
05007,83,8632.0,3536.0,0.02857142857142857,0.5555555555555556,9720.344827586207,8600.0,6337.5,12225.0,7.734939759036145,43.6764705882353,85.29411764705883,0.4411764705882353,0.5588235294117647,0.8213316635357963
05009,253,96429.0,43731.0,0.024580108402292952,0.5903457273320287,10742.39475676946,9192.610759493671,6450.0,12563.902147971361,7.9497409542040325,40.87413962635202,86.4406779661017,0.41771283528846814,0.5020694701699023,0.8975161761636402
05010,281,244753.0,96344.0,0.03814705735536365,0.5406287950344083,9945.002960545486,8600.0,6450.0,11006.077235772358,7.951783960585627,41.47068836668604,90.82568807339449,0.38056339782446236,0.5966121398322677,0.8975161761636402
05017,610,107623.0,53843.0,0.01379221921019855,0.6344643825603056,10766.948205527799,9890.0,7237.637540453074,12900.0,8.367035482640214,39.41310848206824,80.19801980198021,0.4491391638653121,0.5019408279627807,0.9423919849718222
05018,441,259836.0,103477.0,0.045916814958923816,0.5198508371239173,11439.227875176655,10750.0,7740.0,14000.0,8.987328735419366,43.94608463716575,76.24309392265194,0.37477893638199794,0.5790465514075591,0.8975161761636402
05019,51,9282.0,3276.0,0.0,0.42857142857142855,12121.764705882353,11180.0,8600.0,13652.499999999998,8.901960784313726,47.05555555555556,94.44444444444444,0.2777777777777778,0.6666666666666666,1.1443331246086412
05020,100,16684.0,5160.0,0.06521739130434782,0.375,9928.082021541011,9279.511111111111,8600.0,11004.605263157895,9.413090385998562,40.02868217054264,93.54838709677419,0.24651162790697675,0.724031007751938,0.9360142860455948
05021,47,8319.0,4071.0,0.041666666666666664,0.7058823529411765,9745.285714285714,10320.0,6337.5,12010.0,8.27659574468085,30.26086956521739,91.30434782608695,0.34782608695652173,0.6521739130434783,1.0321436025881863
05022,59,55432.0,19884.0,0.08101862550261127,0.5334829133586468,11605.292063679943,10750.0,8600.0,12900.0,6.17419541059316,43.963488231744115,85.71428571428571,0.46861798430899215,0.4432206799436733,0.8016405667412378
05023,32,15360.0,6240.0,0.1875,0.64,10651.818181818182,10000.0,8600.0,15265.000000000002,7.84375,30.615384615384617,84.61538461538461,0.38461538461538464,0.6153846153846154,0.7375093214019388
05025,287,166374.0,84786.0,0.03779109355849108,0.6447071907284381,16357.359158490948,12900.0,9163.896039603962,17200.0,9.16509190137882,41.35108390536173,79.86111111111111,0.30400066048640106,0.6370863114193381,0.8016405667412378
