cve_ent,ent_n_muestra,ent_pob_expandida,ent_pob_ocupada,ent_tasa_desocup,ent_tasa_particip,ent_ing_medio_ocup,ent_ing_mediana_ocup,ent_ing_p25_ocup,ent_ing_p75_ocup,ent_esc_media,ent_hrs_media_ocup,ent_cobertura_ing_%,ent_tasa_informalidad,ent_acceso_salud,ent_ing_mediana_sm
01,10757,1531396.0,698313.0,0.021569075264779525,0.5923684195187671,12088.064591365483,9890.0,7310.0,13125.827338129508,8.647652602639802,41.96645057445587,56.97674418604651,0.44549936776202076,0.4969576679798314,0.4487580880818201
02,15450,3830329.0,1773880.0,0.023786226640001497,0.589794377959454,14621.006023398031,12900.0,10750.0,17200.0,8.730696435556988,39.865590682571536,57.182320441988956,0.3765192684961779,0.554930998714682,0.6413124533929903
03,7965,928591.0,484352.0,0.02082271981109952,0.6695797795164549,16309.879333642895,12900.0,8600.0,20000.0,8.849209056134564,39.60251841635835,75.94542843465774,0.3896339852008457,0.5295962440539113,1.1218952202045502
04,15600,935371.0,430913.0,0.027646587614094074,0.6036248928359456,10344.553875034604,8600.0,5160.0,12861.23943661972,8.096031089371225,38.91213307558602,79.44979367262724,0.6060945016743519,0.33101809413965233,0.7155798073769282
05,15940,3590747.0,1606342.0,0.03385712068921964,0.5957604787925203,12407.420952285782,10750.0,8600.0,14000.0,8.637594785361475,40.65743783079817,76.68601437258154,0.3438041214137463,0.6101477767499075,0.8975161761636402
06,10052,762355.0,394401.0,0.01694420973133034,0.6548997926291474,12404.496381990504,10750.0,7740.0,15050.0,8.719548857355058,38.634438046556674,72.64990328820116,0.4765479803550194,0.4488984561398171,0.8975161761636402
07,20572,5891372.0,2207595.0,0.024481693966010562,0.5352084324210061,7277.114012743303,6450.0,2580.0,9400.0,6.069471138900148,40.729563620138656,73.51464923543831,0.7570002649942584,0.16381310883563335,0.4487580880818201
08,14661,4015493.0,1821913.0,0.02146698877802138,0.5842251229593093,13433.525082170207,12000.0,8600.0,15050.0,8.479248725527224,38.67020543791059,67.8187968818944,0.34947881704559985,0.582056333096037,0.8657718120805369
09,9211,9336468.0,4918698.0,0.03966304336366224,0.6291060839061354,14306.563099095003,10000.0,6880.0,16000.0,10.556669145821814,38.36682837612718,53.44036697247706,0.44347020288702416,0.4766840737121897,0.22437904404091005
10,13397,1968132.0,867323.0,0.031715959684369875,0.597770379412651,10508.86773691342,9030.0,6450.0,12900.0,7.955789867451655,38.74218716671874,77.44013212221304,0.5548590317563353,0.38910417456933577,0.8077645585472761
11,15347,6402249.0,2820769.0,0.031357268540330566,0.5804619611921794,9943.87546587404,8600.0,6450.0,12000.0,7.73355366875366,40.41291966835994,63.084112149532714,0.5504920821237046,0.39962506678143445,0.6282613233145481
12,11794,3569633.0,1526652.0,0.014086853755170443,0.5689074319582001,8579.523541203407,7740.0,4060.6740157480294,10750.0,6.893405981126761,39.43249018112838,67.75573706728899,0.7662446975473127,0.19774906134469414,0.4487580880818201
13,9836,3215821.0,1488296.0,0.014875858006182277,0.593080497449893,8954.15232541626,7740.0,4300.0,10750.0,7.706883221416348,39.00589533264888,77.03783783783784,0.7161290495976607,0.2395303084870214,0.6679190148194531
14,13219,8750952.0,3856011.0,0.015990868339647545,0.5622821007130361,11526.577124807995,10750.0,7740.0,14000.0,8.35658908612394,39.06157814383828,56.092579986385296,0.48703102766045014,0.43233901563040145,0.6731371321227301
15,17206,17753727.0,8146181.0,0.031121180545355093,0.5716457375271571,11227.246442273097,9460.0,6656.108497723831,12900.0,8.965301791293609,43.21314368045591,61.35628316293516,0.5546466497614035,0.3921021396406488,0.8077645585472761
16,11390,4945881.0,2332708.0,0.017419917912912204,0.6094094206603251,9733.953493780864,8600.0,5375.0,11000.0,7.393377112558009,38.656290028584806,76.29899726526892,0.6842973917009758,0.2521091366772009,0.7180129409309122
